filename,ticker,matched_company_name,confidence
Gulf Canadian RE Inv Co Stock Price History.csv,CCRS.CA,Gulf Canadian RE Inv Co,0.75
Middle Egypt Flour Mills Stock Price History.csv,CEFM.CA,Middle Egypt Flour Mills,1
Middle&West Delta Flour Mills Stock Price History.csv,WCDF.CA,Middle&West Delta Flour Mills,1
Ceramica Remas Stock Price History.csv,CERA.CA,Ceramica Remas,1
CI Capital Stock Price History.csv,CICH.CA,CI Capital,1
Credit Agricole Egypt Stock Price History.csv,CIEB.CA,Credit Agricole Egypt,1
Cleopatra Hospital Stock Price History.csv,CLHO.CA,Cleopatra Hospital,1
Contact Financial Holding Stock Price History.csv,CNFN.CA,Contact Financial Holding,1
Commercial Int Bank Stock Price History.csv,COMI.CA,Commercial Int Bank,0.67
Copper for Commercial Investment RE Dev Stock Price History.csv,COPR.CA,Copper for Commercial Investment RE Dev,0.6
Cairo Oils & Soap Stock Price History.csv,COSG.CA,Cairo Oils & Soap,1
Kahira Pharmaceuticals and Chemical Industries Stock Price History.csv,CPCI.CA,Kahira Pharmaceuticals and Chemical Industries,1
Creast Mark for Contracting RE Dev Stock Price History.csv,CRST.CA,Creast Mark for Contracting RE Dev,0.6
Canal Shipping Agencies Stock Price History.csv,CSAG.CA,Canal Shipping Agencies,1
Delta Construction&Rebuilding Stock Price History.csv,DCRC.CA,Delta Construction&Rebuilding,1
Delta Insurance Stock Price History.csv,DEIN.CA,Delta Insurance,1
DIGITIZE for Investment and Stock Price History.csv,DGTZ.CA,DIGITIZE for Investment and,1
International Dry Ice Stock Price History.csv,DIFC.CA,International Dry Ice,1
Arabian Food Industries Co Stock Price History.csv,DOMT.CA,Arabian Food Industries Co,1
Dice Sport&Casual Wear Stock Price History.csv,DSCW.CA,Dice Sport&Casual Wear,1
Delta Printing&Packaging Stock Price History.csv,DTPP.CA,Delta Printing&Packaging,1
El Arabia Land Reclamation Stock Price History.csv,EALR.CA,El Arabia Land Reclamation,1
Eastern Tobacco Stock Price History.csv,EAST.CA,Eastern Tobacco,1
Osool ESB Securities Broker Stock Price History.csv,EBSC.CA,Osool ESB Securities Broker,0.75
Al Ezz Stock Price History.csv,ECAP.CA,Al Ezz,1
East Delta Flour Mills Stock Price History.csv,EDFM.CA,East Delta Flour Mills,1
El Arabia Engineering Stock Price History.csv,EEII.CA,El Arabia Engineering,1
Egyptian Financial&Industrial Stock Price History.csv,EFIC.CA,Egyptian Financial&Industrial,1
Edita Food Stock Price History.csv,EFID.CA,Edita Food,1
E-finance Stock Price History.csv,EFIH.CA,E-finance,1
Egypt Gas Stock Price History.csv,EGAS.CA,Egypt Gas,1
Egyptian Gulf Bank Stock Price History.csv,EGBE.CA,Egyptian Gulf Bank,1
Abu Qir Fertilizers and Chemical Industries Stock Price History.csv,ABUK.CA,Abu Qir Fertilizers and Chemical Industries,1
Misr Chemical Industries Stock Price History.csv,MICH.CA,Misr Chemical Industries,1
Sabaa Intl Pharma and Chemical Industries Stock Price History.csv,SIPC.CA,Sabaa Intl Pharma and Chemical Industries,1
Egyptian Satellite Stock Price History.csv,EGSA.CA,Egyptian Satellite,1
Egyptian Tourism Resorts Stock Price History.csv,EGTS.CA,Egyptian Tourism Resorts,1
EGX30ETF ETF Stock Price History.csv,EGX30ETF.CA,EGX30ETF ETF,0.5
Egyptians Housing Develop Stock Price History.csv,EHDR.CA,Egyptians Housing Develop,0.67
Electro Cable Stock Price History.csv,ELEC.CA,Electro Cable,1
El Kahera Housing Stock Price History.csv,ELKA.CA,El Kahera Housing,1
El Nasr Agricultural Crops Stock Price History.csv,ELNA.CA,El Nasr Agricultural Crops,1
El Shams Stock Price History.csv,ELSH.CA,El Shams,1
El Wadi Co. Stock Price History.csv,ELWA.CA,El Wadi Co.,1
Emaar Misr for Development SAE Stock Price History.csv,EMFD.CA,Emaar Misr for Development SAE,1
Kima Stock Price History.csv,EGCH.CA,,
Industrial Engineering Stock Price History.csv,ENGC.CA,Industrial Engineering,1
Al Orouba Securities Brokerage Stock Price History.csv,EOSB.CA,Al Orouba Securities Brokerage,1
MB Engineering Stock Price History.csv,MBEG.CA,MB Engineering,0.5
Ismailia Misr Poultry Stock Price History.csv,ISMA.CA,Ismailia Misr Poultry,1
El Ahram Co. Stock Price History.csv,EPPK.CA,El Ahram Co.,1
Mansourah Poultry Stock Price History.csv,MPCO.CA,Mansourah Poultry,1
Egypt for Poultry Stock Price History.csv,EPCO.CA,Egypt for Poultry,1
EL Ezz Aldekhela Steel Stock Price History.csv,IRAX.CA,EL Ezz Aldekhela Steel,1
Ezz Steel Stock Price History.csv,ESRS.CA,Ezz Steel,1
Egyptian Transport & Commercial Services Stock Price History.csv,ETRS.CA,Egyptian Transport & Commercial Services,1
Faisal Islamic Bank of Egypt Stock Price History.csv,FAIT.CA,Faisal Islamic Bank of Egypt,1
Ferchem Egypt Fertilizers and Chemicals Stock Price History.csv,FERC.CA,Ferchem Egypt Fertilizers and Chemicals,1
Al Fanar Contracting Stock Price History.csv,FNAR.CA,Al Fanar Contracting,1
Fawry Banking and Payment Stock Price History.csv,FWRY.CA,Fawry Banking and Payment,1
GB AUTO Stock Price History.csv,GBCO.CA,GB AUTO,1
Gadwa for Industrial Development Stock Price History.csv,GDWA.CA,Gadwa for Industrial Development,1
